label	id	title	authors	year	nonapproved	journal	corrauthorlocation	ctgnctid	statedgoal_safety	statedgoal_dosage	statedgoal_efficacy	statedgoal_pd	statedgoal_pk	statedgoal_other	sponsor_govt	sponsor_biotech	sponsor_pharma	sponsor_nonprofit	sponsor_ns	industry	preclinical citation in same indication	phase	phasestated	multicentre	shape	size	border	row	subindication	stage	conflictofinterest_disclosed	conflictofinterest	effectsize	randomisation	primary_outcome_blinding	allocation_blinding	description_of_withdrawals	study_design_dose_esc	study_design_dose_find	study_design_dose_rang	study_design_hist_cont	study_design_parallel	study_design_futility	study_design_simon2	study_design_placebo	study_design_crossover	study_design_invasv	study_design_is_other	study_design_other	no_comp_cites	duration_of_treatment (weeks)	duration_of_tx_imputed	concomitant_meds	paediatric_subjects	burdens_invasive_res_procedures	burdens_wash_out	burdens_other	burdens_washout_text	burdens_other_text	burdens_none	results_primary_endpoint	colour	results_toxicity	results_assessment_risk_benefit	stats_measure	clinicalinterest	Alpha	Beta	Min	Thres	date_of_pt_enrolment	date_of_closure	pub_date	query	bounce	sent may 1	response	address	total n	n receiving su evaluable for response	ORR n	G3-4	G3-5	Deaths	number of citations	novel citations	cited < 2 years	cited < 3 years
18	2007	"Safety, pharmacokinetic, and antitumor activity of SU11248, a novel oral multitarget tyrosine kinase inhibitor, in patients with cancer"	"S. Faivre, C. Delbaldo, K. Vera, C. Robert, S. Lozahic, N. Lassau, C. Bello, S. Deprimo, N. Brega, G. Massimini, J.-P. Armand, P. Scigalla and E. Raymond"	2006	1	Journal of Clinical Oncology	France	n/a	0	0	NULL	NULL	0	NULL	NULL	NULL	1	NULL	NULL	1	1	Phase 1	Explicit	Single				P1	Advanced malignancies	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	42	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive		Acceptable	Favourable	None	Yes					01.06.01	03.09.01	06.01.01						28	27	6	14	15	1	8	6	4	8
73	1793	"Activity of SU11248, a multitargeted inhibitor of vascular endothelial growth factor receptor and platelet-derived growth factor receptor, in patients with metastatic renal cell carcinoma"	"R. J. Motzer, M. D. Michaelson, B. G. Redman, G. R. Hudes, G. Wilding, R. A. Figlin, M. S. Ginsberg, S. T. Kim, C. M. Baum, S. E. DePrimo, J. Z. Li, C. L. Bello, C. P. Theuer, D. J. George and B. I. Rini"	2006	1	Journal of Clinical Oncology	United States	n/a	1	NULL	1	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	None	39	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.05	0.15		15%	03.01.01	03.07.01	06.01.01						63	63	25	7	7	0	6	4	0	6
44	1795	Activity of sunitinib in patients with advanced neuroendocrine tumors	"M. H. Kulke, H.-J. Lenz, N. J. Meropol, J. Posey, D. P. Ryan, J. Picus, E. Bergsland, K. Stuart, L. Tye, X. Huang, J. Z. Li, C. M. Baum and C. S. Fuchs"	2008	1	Journal of Clinical Oncology	United States	NCT00056693	1	NULL	1	NULL	NULL	NULL	NULL	NULL	1	1	NULL	1	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	NET	Advanced disease; not candidates for curative surgery	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	31	No	Unclear	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Retest	0.05	0.15	5%	15%	03.03.01	05.11.01	08.07.10						109	107	11	26	27	1	12	5	8	8
7	2208	Efficacy and safety of sunitinib in patients with advanced gastrointestinal stromal tumour after failure of imatinib: a randomised controlled trial	"G. D. Demetri, A. T. van Oosterom, C. R. Garrett, M. E. Blackstein, M. H. Shah, J. Verweij, G. McArthur, I. R. Judson, M. C. Heinrich, J. A. Morgan, J. Desai, C. D. Fletcher, S. George, C. L. Bello, X. Huang, C. M. Baum and P. G. Casali"	2006	1	Lancet	United States	NCT00075218	0	NULL	0	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	Phase 3	Explicit	Multi	circle	2 cm	thick	GIST	Imatinib resistant	Refractory	Disclosed	Conflict	n/a	Yes	Yes	Yes	Yes	NULL	NULL	NULL	NULL	1	NULL	NULL	1	1	NULL	NULL	NULL	None	10.4	No	No	None	NULL	0	NULL	NULL	NULL	1	Positive	green	Acceptable	Favourable	95 CI	Yes	0.05	0.1			03.12.01	05.01.01	06.10.10						312	207	57	2	2	0	6	2	1	6
51	1970	Phase II trial of sunitinib in patients with metastatic colorectal cancer after failure of standard therapy.[Erratum appears in J Clin Oncol. 2008 Jan 20;26(3):514]	"L. B. Saltz, L. S. Rosen, J. L. Marshall, R. J. Belt, H. I. Hurwitz, S. G. Eckhardt, E. K. Bergsland, D. G. Haller, A. C. Lockhart, C. M. Rocha Lima, X. Huang, S. E. DePrimo, E. Chow-Maneval, R. C. Chao and H. J. Lenz"	2007	1	Journal of Clinical Oncology	United States	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	1	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Colorectal	metastatic	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	9.2	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Inconclusive	95 CI	Retest	0.05	0.15	5%	15%	03.12.01	05.11.01	07.10.20						82	82	1	12	12	0	16	8	0	6
63	338	A phase 1 study of SU11248 in the treatment of patients with refractory or resistant acute myeloid leukemia (AML) or not amenable to conventional therapy for the disease	"W. Fiedler, H. Serve, H. Dohner, M. Schwittay, O. G. Ottmann, A.-M. O'Farrell, C. L. Bello, R. Allred, W. C. Manning, J. M. Cherrington, S. G. Louie, W. Hong, N. M. Brega, G. Massimini, P. Scigalla, W. E. Berdel and D. K. Hossfeld"	2005	1	Blood	Germany	n/a	1	NULL	0	NULL	1	NULL	NULL	NULL	1	NULL	NULL	1	1	Phase 1	Explicit	Multi				AML	"refractory or resistant, not amenable to conventional therapies"	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	4	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive		Acceptable	Inconclusive	None	Retest					03.12.15	02.04.30	04.09.30	1		1	answered	fiedler@uke.uni-hamburg.de 	16	15	5	4	5	1	3	3	3	3
57	1692	Sunitinib in patients with metastatic renal cell carcinoma	"R. J. Motzer, B. I. Rini, R. M. Bukowski, B. D. Curti, D. J. George, G. R. Hudes, B. G. Redman, K. A. Margolin, J. R. Merchan, G. Wilding, M. S. Ginsberg, J. Bacik, S. T. Kim, C. M. Baum and M. D. Michaelson"	2006	1	JAMA	United States	NCT00077974	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	metastatic	Second line	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	single-arm	None	13	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.1				04.02.01	04.11.01	06.07.07						106	106	36	16	17	1	7	7	3	7
17	1959	"Phase II study of sunitinib malate, an oral multitargeted tyrosine kinase inhibitor, in patients with metastatic breast cancer previously treated with an anthracycline and a taxane"	"H. J. Burstein, A. D. Elias, H. S. Rugo, M. A. Cobleigh, A. C. Wolff, P. D. Eisenberg, M. Lehman, B. J. Adams, C. L. Bello, S. E. DePrimo, C. M. Baum and K. D. Miller"	2008	1	Journal of Clinical Oncology	United States	NCT00078000	NULL	NULL	1	1	1	NULL	NULL	NULL	0	NULL	NULL	0	1	Phase 2	Explicit	Multi	circle	1.5 cm	thick	BC	Previously Treated With an Anthracycline and a Taxane	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	None	10	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Inconclusive	yellow	Acceptable	Favourable	95 CI	Yes	0.05	0.15	5%	10%	04.03.01	05.11.01	08.03.17						64	64	7	22	22	0	6	1	0	0
10	2450	Sunitinib versus interferon alfa in metastatic renal-cell carcinoma	"R. J. Motzer, T. E. Hutson, P. Tomczak, M. D. Michaelson, R. M. Bukowski, O. Rixe, S. Oudard, S. Negrier, C. Szczylik, S. T. Kim, I. Chen, P. W. Bycott, C. M. Baum and R. A. Figlin"	2007	0	New England Journal of Medicine	United States	NCT00098657	0	NULL	0	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	Phase 3	Explicit	Multi	circle	2 cm	thick	RCC	"Metastatic, clear-cell histologic"	Refractory	Disclosed	Conflict	4.7 to 6.2 months	Yes	Yes	Yes	Yes	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.05	0.1			04.08.01	05.10.01	07.01.11						750	375	116			0	14	11	2	2
53	1813	Antitumor activity and biomarker analysis of sunitinib in patients with bevacizumab-refractory metastatic renal cell carcinoma	"B. I. Rini, M. D. Michaelson, J. E. Rosenberg, R. M. Bukowski, J. A. Sosman, W. M. Stadler, T. E. Hutson, K. Margolin, C. S. Harmon, S. E. DePrimo, S. T. Kim, I. Chen and D. J. George"	2008	0	Journal of Clinical Oncology	United States	n/a	1	NULL	1	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	Bevacizumab-Refractory Metastatic Renal Cell Carcinoma	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	single arm	None	29	No	Unclear	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes			5%	15%	04.12.01	08.03.01	08.08.01	1		1	answered	rinib2@ccf.org	61	61	14			1	1	1	1	1
